"iso_code";"country";"region";"income_status";"education_expenditure";"youth_unemployment_rate";"net_migration_rate"
"CUB";"Cuba";"North America";"Upper-middle-income countries";12,8;6,1;-3,7
"FSM";"Micronesia, Federated States of";"Oceania";"Lower-middle-income countries";12,5;18,9;-20,9
"SLB";"Solomon Islands";"Oceania";"Lower-middle-income countries";9,9;1,3;-1,6
"MSR";"Montserrat";"North America";.;8,8;.;0
"NOR";"Norway";"Europe";"High-income countries";7,9;9,7;4
"DNK";"Denmark";"Europe";"High-income countries";7,8;9,4;2,8
"ISL";"Iceland";"Europe";"High-income countries";7,7;6,1;3,3
"SLE";"Sierra Leone";"Africa";"Low-income countries";7,7;9,4;-1,2
"BLZ";"Belize";"North America";"Upper-middle-income countries";7,6;15,3;-1
"SWE";"Sweden";"Europe";"High-income countries";7,6;16,8;5,2
"BOL";"Bolivia";"South America";"Lower-middle-income countries";7,3;6,9;-0,3
"SWZ";"Eswatini";"Africa";"Lower-middle-income countries";7,1;47,1;-6,8
"CRI";"Costa Rica";"North America";"High-income countries";7;20,6;0,8
"LSO";"Lesotho";"Africa";"Lower-middle-income countries";7;34,4;-6,1
"BTN";"Bhutan";"Asia";"Lower-middle-income countries";6,9;10,7;0
"OMN";"Oman";"Asia";"High-income countries";6,8;13,7;-0,4
"TLS";"Timor-Leste";"Asia";"Lower-middle-income countries";6,8;13,2;-3,9
"TUN";"Tunisia";"Africa";"Lower-middle-income countries";6,6;35;-1,4
"ZAF";"South Africa";"Africa";"Upper-middle-income countries";6,5;53,4;-0,2
"BEL";"Belgium";"Europe";"High-income countries";6,4;15,8;4,8
"FIN";"Finland";"Europe";"High-income countries";6,4;17;2,6
"BRA";"Brazil";"South America";"Upper-middle-income countries";6,3;28,5;-0,1
"NZL";"New Zealand";"Oceania";"High-income countries";6,3;11,5;8
"HND";"Honduras";"North America";"Lower-middle-income countries";6,1;10,7;-1,4
"ISR";"Israel";"Asia";"High-income countries";6,1;7,2;2,1
"PRI";"Puerto Rico";"North America";"High-income countries";6,1;26,6;-14,1
"KGZ";"Kyrgyzstan";"Asia";"Lower-middle-income countries";6;14,2;-5
"ZWE";"Zimbabwe";"Africa";"Lower-middle-income countries";5,9;16,5;-5
"CYP";"Cyprus";"Europe";"High-income countries";5,8;20,2;7,6
